;;;2000;;;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022
;;;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал
Вторичный рынок жилья;Российская Федерация;;5 910.45;5 955.02;6 103.58;6 590.17;7 300.88;7 723.86;8 291.11;9 072.4;9 794.82;10 487.07;11 052.26;11 556.55;12 419.61;12 784.79;13 344.4;13 966.96;15 575.75;16 449.01;17 217.35;17 930.77;19 588.46;20 162.96;20 963.03;22 165.57;25 708.72;28 191.75;32 291.23;36 615.08;41 900.79;43 320.53;44 992.89;47 205.78;52 266.43;54 815.76;57 118.22;56 494.83;57 806.4;55 059.42;53 635.74;52 895.21;59 006.85;59 206.04;59 446.22;59 997.54;46 157.68;46 665.87;47 132.69;48 242.98;51 907.49;53 357.87;54 848.38;56 369.51;55 420.52;55 998.45;56 246.79;56 478.11;55 924.7;56 630.42;57 119.36;58 084.71;58 707.41;58 310.48;57 233.16;56 282.88;55 329.96;54 792.83;54 215.14;53 982.97;53 028.03;52 757.93;52 289.68;52 349.88;53 164.31;53 574.02;53 948.7;54 923.93;57 006.73;57 276.7;58 315.44;58 527.52;61 067.46;61 903.26;63 916.54;66 711.56;67 826.22;70 789.7;73 224.95;76 686.26;89 867.64
Вторичный рынок жилья;    Центральный федеральный округ;;8 047.53;7 963.89;8 016.38;8 375.11;9 451.3;9 707.85;10 167.4;11 085.86;12 000.95;13 167.63;14 055.5;14 833.56;16 552.15;17 130.68;17 865;18 729.68;21 478.21;22 460.31;23 023.37;23 610.7;25 570.5;26 185.87;27 105.22;28 671.8;36 369.93;41 673.59;50 009.36;55 267.31;64 111.91;64 773.83;66 198.91;69 312.08;76 585.04;81 518.87;86 817.03;86 013.92;90 649.2;86 326.77;84 422.15;83 255.37;95 985.41;96 629.71;97 250.02;98 606;69 479.17;70 175.18;70 237.35;71 013.72;81 112.45;82 523.72;84 238.55;86 774.2;84 356.93;85 607.07;84 159.03;84 173.93;83 183.63;84 414.96;84 963.38;87 041.49;81 316.56;82 258.98;81 235.53;79 212.86;75 271.2;75 076;74 115.06;73 379.7;71 557.57;70 573.7;69 809.41;70 172.3;70 363.71;70 833.61;71 361.76;71 810.17;74 141.95;73 701.57;77 276.45;75 204.28;77 463.56;79 351.81;84 416.55;90 211.47;85 132.83;90 244.73;94 859.13;98 406.68;113 156.72
Вторичный рынок жилья;        Белгородская область;;3 615.43;3 876.28;4 731.57;4 745.9;4 885.14;5 019.26;5 607.01;5 967.57;5 958.05;6 032.94;6 617.56;6 718.74;8 641.2;8 921.93;9 407.67;9 598.83;11 027.21;11 410.27;12 076.32;12 565.73;13 278.71;13 691.06;14 341.09;14 604.89;15 975.85;18 337.38;21 272.49;23 258.96;24 965.75;27 244;28 605.08;30 152.92;35 006.43;37 232.12;38 382.98;38 476.84;39 353.86;37 865.65;37 013.86;36 821.46;35 260.28;35 193.22;35 511.19;35 070.97;31 363.59;31 445.24;31 903.6;32 898.94;36 688.85;37 761.24;39 580.76;41 004.02;48 896.28;48 246.22;49 183.72;49 433;52 471.21;52 765.5;52 701.05;52 664.28;52 510.97;51 634.3;50 972.62;50 294.56;44 568.52;44 702.53;43 854.55;44 714.5;49 841.64;49 028.53;48 932.17;48 163.59;48 759.17;47 950.58;47 612.16;48 862.29;44 592.6;44 605.47;44 215.41;44 202.62;43 626.87;43 674.93;45 828.69;49 021.49;53 503.09;57 416.53;57 862.36;61 141.76;82 428.5
Вторичный рынок жилья;        Брянская область;;3 869.59;3 885.73;3 854.96;3 796.19;3 983.03;4 276.41;4 395.34;4 871.38;7 347.2;7 734.7;7 840.32;8 916.32;9 718.37;9 897.5;9 984.43;10 866.51;12 619.11;13 097.84;13 491.36;14 041.08;14 480.62;15 998.32;16 150.24;16 285.12;16 776.6;17 127.22;18 347.48;20 664.2;22 092.5;25 183.59;28 980.95;31 101.25;35 770.72;37 409.84;38 780.97;35 588.02;34 717.06;33 772.83;32 946.25;30 912.64;30 301.94;31 575.49;32 076.72;32 308.48;28 893.24;29 196.68;29 560.29;29 610.67;31 433.61;32 146.96;32 684.26;32 947.3;35 271.19;35 530.63;34 756.29;34 943.86;40 352.86;40 938.33;41 112.93;41 058.27;32 237.67;32 298.16;32 457.66;31 645.48;41 947.12;42 974.97;41 401.62;41 302.92;39 549.87;38 449.77;37 380.04;36 063.15;35 032.6;35 114.75;34 487.77;34 156.21;32 910.7;33 607.88;33 875.55;34 381.58;34 963.76;34 737.38;35 276.76;36 274.28;37 975.21;38 304.05;38 461.54;39 406.97;56 281.5
Вторичный рынок жилья;        Владимирская область;;4 343.81;4 360.74;4 330.7;4 664.93;5 175.1;5 520.93;6 010.87;7 019.84;7 671.79;8 186.53;8 555.16;9 337.42;9 588.11;9 887.13;10 155.96;10 935.39;12 741.25;13 952.96;14 399.86;14 746.79;14 857.81;15 151.56;15 505.9;16 522.34;18 780.25;20 956.83;23 591.65;27 383.06;27 001.94;28 534.43;30 829.54;33 064.44;39 154.19;40 519.94;42 196.29;40 025.59;38 125.81;34 808.22;33 747.39;33 985.72;35 547.79;35 023.22;34 039.34;34 974.39;33 900.17;34 377.06;35 157.05;35 800.37;38 430.32;39 347.27;40 562.89;40 587.85;42 668.64;43 918.23;44 750.16;44 474.9;43 414.89;43 924.39;44 503.39;45 391.55;44 891.49;44 530.06;44 412.26;43 602.44;44 373.66;43 349.69;42 156.64;41 765.97;40 364.95;40 857.03;41 451.01;42 034.75;40 974.71;41 178.62;42 590.38;43 365.72;42 546.17;42 846.78;42 954.05;43 063.71;43 153.26;42 349.68;43 224.33;44 295.37;48 438.5;54 992.89;59 574.4;62 250.92;70 020.42
Вторичный рынок жилья;        Воронежская область;;4 952.76;4 861.79;4 924.45;5 208.88;5 200.33;5 260.22;5 728.03;6 659.63;6 863.98;6 902.48;7 542.28;7 902.04;8 365.81;8 356.5;8 592.75;9 294.76;10 416.38;10 838.14;11 895.3;12 241.8;13 058.92;13 057.69;13 835.58;14 285.29;16 356.7;17 568.94;19 099.59;24 206.57;23 997.02;24 193.08;24 438.9;26 090.89;30 652.56;32 314.21;33 490.42;32 783.69;35 262.67;33 236.48;34 223.53;34 007.4;33 321.75;33 067.8;34 244.95;34 595.38;34 896.71;35 008.32;35 455.36;37 334.94;39 090.39;41 002.17;42 014.97;44 849.25;47 133.58;47 716.63;46 923;47 411.44;47 048.64;46 871.6;47 293.06;48 137;50 119.6;49 373.07;48 315.35;46 767.05;47 123.16;46 300.66;45 160.49;45 435.2;44 325.74;44 066.17;43 222.95;44 663.91;43 350.29;42 623.91;43 801.82;43 815.78;44 858.43;45 345.4;45 609.13;45 885.62;47 430.28;47 992.56;48 246.48;50 626.94;53 988.88;52 849.96;58 479.03;60 573.47;68 952.68
Вторичный рынок жилья;        Ивановская область;;2 629.41;2 779.73;2 833.85;2 996.98;3 577.32;3 839.55;4 486.56;5 291.15;5 481.77;6 161.96;6 821.54;7 443.9;7 663.74;7 808.02;7 977.82;8 111.06;8 270.3;9 104.47;9 302.85;9 727.81;10 424.72;10 731.78;11 030.37;11 899.64;13 149.69;14 805.22;17 788.04;21 435.43;27 202.25;28 549.76;29 328.47;29 973.1;30 980.04;32 654.8;33 397.85;32 772.82;31 910.52;30 858.37;29 540.15;29 729.04;30 312.72;30 215.77;31 157.64;31 190.01;32 541.7;32 849.03;32 465.19;33 523.91;33 111.51;33 941.2;34 824.12;35 126.52;36 336.41;39 400.51;39 720.67;41 689.08;43 099.28;43 938.72;44 173.57;44 360.13;44 520.85;44 754.3;45 574.62;44 943.74;44 135.31;42 642.53;41 697.7;40 140.24;40 565.16;40 178.42;39 798.47;39 643.02;39 765.67;39 706.28;39 143.63;39 625.97;39 672.32;38 962.99;39 585.73;39 682;38 763.22;38 627.01;39 096.36;40 380.99;42 595.81;43 700.09;44 625.12;46 280.68;60 349.34
Вторичный рынок жилья;        Калужская область;;4 821.62;4 719.65;4 723.6;4 823.08;4 995.17;5 179.05;5 702.5;6 423.83;6 920.45;7 889.67;8 104.71;9 020.26;10 361.87;10 854.66;11 565.14;12 397.55;13 760.08;14 436.65;15 021.16;15 328.13;15 433.24;17 028.13;17 853.4;19 368.85;21 375;22 106.84;25 941.42;27 822.15;32 915.61;35 151.02;36 753.38;39 557.31;45 735.81;56 592.58;62 660.8;61 191.28;58 405.38;55 054.89;51 005.83;52 298.19;48 648.31;47 757.45;48 519.94;49 617.84;49 703.99;50 328.71;51 030.61;51 202.5;51 653.82;51 855.83;53 494.93;54 003.15;55 371;59 001.81;58 398.13;58 975.55;57 035.96;57 126.31;56 658.7;58 621.05;57 360.97;57 449.83;55 877.82;53 709.48;50 970.56;52 417.32;51 011.11;50 793.34;53 034.73;51 276.31;50 583.69;50 495.89;51 030.04;53 446.57;52 581.49;52 878.36;54 699.03;53 870.71;53 036.81;52 759.21;50 768.11;51 491.52;49 672.96;49 991.35;54 487.48;56 111.54;56 788.64;60 644.3;72 964.09
Вторичный рынок жилья;        Костромская область;;3 691.71;3 550.54;3 563.68;3 733.82;4 032.72;4 563.65;4 659.39;5 097.13;5 256.84;5 732.59;6 200.46;6 633.04;7 182.34;7 520.4;8 039.8;8 614.37;9 946.32;10 744.94;12 070.01;12 762.35;13 319.93;14 136.48;14 526.81;14 797.46;15 897.84;17 757.44;21 204.35;29 630.72;35 260.87;37 132.87;39 671.9;40 285.12;40 916.49;40 688.53;41 117.89;39 454.36;39 068;34 421.04;33 012.36;33 229.98;33 650.88;33 270.48;33 115.04;32 910.51;31 586.43;32 386.85;33 674.26;35 135.95;37 509.89;39 326.32;39 136.05;40 128.02;39 417.06;39 988.67;40 646.44;40 454.72;40 678.45;41 446.49;41 542.81;41 032.19;42 393.8;44 737.48;42 222.27;42 308.27;42 018.01;41 413.57;41 415.38;40 544.4;40 089.33;40 636.17;39 607.07;39 738.68;36 634.7;37 191.88;36 917.68;40 306.41;40 038.1;39 835.22;39 691.38;39 139.21;40 243.78;41 298.44;41 528.35;42 956.61;45 435.15;46 982.17;49 639.42;51 209.85;57 418.61
